T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
12.3,21.7,5,53,0,2.4,4.4,11.1,284.79583333333335
11.6,21.3,5.2,53,0,3.1,3.3,9.4,219.72083333333333
12.3,21,4.2,49,0,2.6,5.2,11.1,182.1875
11.7,20.4,2.3,36,0,2.9,4.1,13,154.03750000000002
12.8,22,4,37,0,2.9,4.4,14.8,223.20833333333334
14.8,23.7,6.3,38,0,2.6,3,11.1,200.64583333333337
18.9,28.4,12,43,0,2.6,7.4,18.3,285.22499999999997
16.1,25.6,8.6,40,0,2.4,4.8,11.1,236.82499999999996
17.3,23,11.3,63,0,1.4,12.2,18.3,276.90833333333336
13.4,20,6.4,50,0,3.1,4.8,11.1,108.0
13.2,20,5.2,41,0,3.4,4.3,14.8,107.625
12.9,21.8,5.7,38,0,2.9,4.4,13,125.89166666666667
13.7,21.8,6,42,0,2.7,3.3,11.1,181.01250000000005
14.6,23,6.6,44,0,2.3,3.7,11.1,152.55416666666667
15.8,25,7.4,39,0,2.7,3.3,13,152.32083333333335
17.8,26.3,12,45,0,2.6,3.1,13,319.7375
18.8,26.7,9.8,42,0,2.7,7.4,13,332.7083333333333
17.9,26.7,12,53,0,2.3,4.6,13,279.59999999999997
18.6,24.6,11,56,0,1.9,12,18.3,179.11666666666667
15.5,22.7,10.7,47,0,3.5,6.5,13,54.791666666666664
15.8,22.4,8.7,48,0,3.5,5.6,13,93.375
15.7,23.4,7.9,46,0,3.4,4.4,9.4,103.0
18.9,28,10.6,41,0,3.2,1.9,7.6,132.20833333333334
19.7,27.5,12.4,42,0,3.2,7,14.8,127.70833333333333
18.6,27.5,13,74,4.06,2.7,9.1,14.8,109.33333333333333
17.6,23.7,11.6,60,0,2.6,4.6,11.1,56.458333333333336
18.8,25.7,12.1,55,0,3.2,3.7,14.8,135.83333333333334
19.5,26.8,14,58,0,2.9,8.9,13,122.5
18.8,25.7,12.4,59,0,3.2,7.2,13,69.66666666666667
20.7,27.3,14.7,57,0,3.4,13.5,18.3,79.83333333333333
21.9,28.8,15.6,35,0,3.7,9.8,24.1,62.708333333333336
19,26.9,11,37,0,3.7,6.7,14.8,21.208333333333332
21.2,29.8,11,33,0,4,7.4,16.5,1.9166666666666667
22.5,31.1,14,26,0,3.7,4.4,11.1,1.8333333333333333
22.9,33.1,16,30,0,3.7,3.1,13,105.83333333333333
24.7,33.1,16.3,25,0,3.5,5.6,20.6,117.58333333333333
25.9,34.9,17.5,23,0,3.5,5.7,20.6,122.70833333333333
26.9,34,21,32,0,3.4,11.9,18.3,111.95833333333333
24.9,34,19,36,0,3.4,9.6,16.5,59.208333333333336
24.9,31.9,18.5,28,0,3.7,9.1,16.5,77.20833333333333
27.3,35.9,18.2,23,0,3.4,6.7,18.3,98.70833333333333
28.1,35.9,20.6,27,0,3.4,7.6,18.3,123.70833333333333
27.7,35.8,20,29,0,3.1,5.6,14.8,64.79166666666667
25.7,34,20,30,0,4,10.4,16.5,52.333333333333336
24.6,32.1,19.6,29,0,4.3,6.3,13,52.041666666666664
26.3,32.9,19,28,0,3.5,5.2,13,128.33333333333334
26.9,33.3,18.6,33,0,4.2,6.3,16.5,0.0
28.8,36.2,20,25,0,3.9,8.3,14.8,23.208333333333332
28.3,36.4,21.6,29,4.06,3.2,15.9,25.9,15.166666666666666
25.1,36.4,19.4,43,0,4.2,7.8,27.8,21.25
30.4,38.1,20.4,19,0,3.5,8,20.6,81.83333333333333
30.9,38.1,23.2,20,0,4,5.9,16.5,105.33333333333333
30.1,37.7,25,22,0,4,9.4,18.3,117.75
